46	1289	620105, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Павла Шаманова, 54 (здание школы № 23)	2833
47	1290	620102, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Белореченская, 25 (здание школы № 57)	2093
48	1291	620102, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Серафимы Дерябиной, 27а (здание школы № 168)	1921
49	1292	620149, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Академика Бардина, 14 (здание общежития областной клинической больницы № 1)	853
50	1293	620102, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Белореченская, 25 (здание школы № 57)	1543
51	1294	620043, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Крауля, 89 (здание школы № 171)	2515
52	1295	620043, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Заводская, 44 (здание школы № 121)	2466
53	1296	620043, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Крауля, 89 (здание школы № 171)	2573
54	1297	620043, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Начдива Васильева, 1 (здание предприятия «Научно-производственное объединение автоматики имени академика Н.А. Семихатова»)	2758
55	1298	620131, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Металлургов, 46 (здание Детско-юношеского центра «Вариант»)	2571
56	1299	620131, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Металлургов, 46 (здание Детско-юношеского центра «Вариант»)	2142
57	1300	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Готвальда, 19а (здание Екатеринбургской школы № 1)	2092
58	1301	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Готвальда, 19а (здание Екатеринбургской школы № 1)	2413
59	1302	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Августа Бебеля, 122б (здание школы № 6)	2315
60	1303	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Августа Бебеля, 122б (здание школы № 6)	2417
61	1304	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Августа Бебеля, 16 ((здание школы № 185)	1860
62	1305	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Готвальда, 15а (здание лицея № 12)	2163
63	1306	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Августа Бебеля, 122а (здание школы № 29)	2170
64	1307	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Августа Бебеля, 122а (здание школы № 29)	2318
65	1308	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Феофанова, 10 (здание школы № 25)	2373
66	1315	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Соболева, 25 (здание Свердловского областного госпиталя для ветеранов войн)	2855
67	1316	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Соболева, 25 (здание Свердловского областного госпиталя для ветеранов войн)	2232
68	1322	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Цветоносная, 2 (здание школы № 25)	2797
69	1323	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Готвальда, 15а (здание лицея № 12)	2201
70	1324	620034, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Начдива Васильева, 1 (здание предприятия «Научно-производственное объединение автоматики имени академика Н.А. Семихатова»)	2369
71	1822	620105, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Павла Шаманова, 54 (здание школы № 23)	2757
72	1823	620105, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Павла Шаманова, 54 (здание школы № 23)	2586
73	2649	620105, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Павла Шаманова, 54 (здание школы № 23)	2849
74	2650	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Феофанова, 10 (здание школы № 25)	2383
75	2651	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Цветоносная, 2 (здание школы № 25)	2248
76	2652	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Цветоносная, 2 (здание школы № 25)	2551
77	2653	620036, Свердловская область, город Екатеринбург, Верх-Исетский район, улица Удельная, 5 (Уральский техникум автомобильного трранспорта)	2181
78	2654	620105, Свердловская область, город Екатеринбург, Верх-Исетский район, проспект Академика Сахарова, 77 (здание школы № 79)	2401
